Character,Pinyin,Tones,Meaning,Stroke Count,HSK Level,Length,Complexity
下午,xiàwǔ,4-3,afternoon,7,1,2,3.299970618
什么,shénme,2,"what, why",7,1,2,3.299970618
里面,lǐmiàn,3-2,inside,7,1,2,3.299970618
上午,shàngwǔ,4-3,morning,7,1,2,3.299970618
中午,zhōngwǔ,1-3,noon,8,1,2,3.75286668
今天,jīntiān,1-1,today,8,1,2,3.75286668
天气,tiānqì,1-4,weather,8,1,2,3.75286668
飞机,fēijī,1-1,airplane,9,1,2,4.238338138
杯子,bēizi,1-0,cup,10,1,2,4.75682846
多少,duōshǎo,1-3,"how many, how much",10,1,2,4.75682846
工作,gōngzuò,1-4,work,10,1,2,4.75682846
再见,zàijiàn,4-4,good bye,10,1,2,4.75682846
我们,wǒmen,3-0,you,11,1,2,5.308763925
下雨,xiàyǔ,4-3,rain,11,1,2,5.308763925
哪儿,nǎr,3,where,11,1,2,5.308763925
小姐,xiǎojiě,3-3,Miss,11,1,2,5.308763925
先生,xiānsheng,1-0,sir,11,1,2,5.308763925
认识,rènshi,4-0,know,11,1,2,5.308763925
学习,xuéxí,2-2,study,11,1,2,5.308763925
东西,dōngxi,1-0,thing,11,1,2,5.308763925
水果,shuǐguǒ,3-3,fruit,11,1,2,5.308763925
老师,lǎoshī,3-1,teacher,12,1,2,5.894555102
怎么,zěnme,3-0,how,12,1,2,5.894555102
桌子,zhuōzi,1-0,desk,12,1,2,5.894555102
中国,Zhōngguò,1-4,China,12,1,2,5.894555102
朋友,péngyǒu,2-3,friend,12,1,2,5.894555102
妈妈,māma,1-0,mother,12,1,2,5.894555102
名字,míngzi,1-0,name,12,1,2,5.894555102
医生,yīshēng,1-1,doctor,12,1,2,5.894555102
明天,míngtiān,2-1,tomorrow,12,1,2,5.894555102
现在,xiànzài,4-4,now,13,1,2,6.514598141
看见,kànjiàn,4-4,see,13,1,2,6.514598141
电视,diànshì,4-4,TV,13,1,2,6.514598141
分钟,fēnzhōng,1-1,minute,13,1,2,6.514598141
学生,xuéshēng,2-1,student,13,1,2,6.514598141
昨天,zuótiān,2-1,yesterday,13,1,2,6.514598141
米饭,mǐfàn,3-4,rice,13,1,2,6.514598141
北京,Běijīng,3-1,Beijing,13,1,2,6.514598141
同学,tóngxué,2-2,classmate,14,1,2,7.169275898
衣服,yīfu,1-0,cloth,14,1,2,7.169275898
汉语,hànyǔ,4-3,mandarin Chinese,14,1,2,7.169275898
椅子,yǐzi,3-0,chair,14,1,2,7.169275898
电脑,diànnǎo,4-3,computer,15,1,2,7.858958936
饭店,fàndiàn,4-4,restaurant,15,1,2,7.858958936
后面,hòumiàn,4-4,behind,15,1,2,7.858958936
高兴,gāoxìng,1-3,happy,16,1,2,8.584006404
爸爸,bàba,4-0,father,16,1,2,8.584006404
医院,yīyuàn,1-4,hospital,16,1,2,8.584006404
苹果,píngguǒ,2-3,apple,16,1,2,8.584006404
时候,shíhou,2-0,time,17,1,2,9.34476683
前面,qiánmiàn,2-4,front,18,1,2,10.14157882
喜欢,xǐhuān,3-1,like,18,1,2,10.14157882
学校,xuéxiào,2-4,school,18,1,2,10.14157882
商店,shāngdiàn,1-4,store,19,1,2,10.97477171
电影,diànyǐng,4-3,movie,20,1,2,11.84466612
星期,xīngqī,1-1,week,21,1,2,12.75157446
睡觉,shuìjiào,4-4,sleep,22,1,2,13.69580145
漂亮,piàoliang,4-0,beautiful,23,1,2,14.6776445
谢谢,xièxie,4-0,thank you,24,1,2,15.69739415
一点儿,yīdiǎnr,1-3,a little,12,1,3,19.23468388
不客气,búkèqì,2-4-4,you are welcome,17,1,3,41.45855066
打电话,dǎdiànhuà,3-4-4,make phone call,18,1,3,47.51630021
出租车,chūzūchē,1-1-1,taxi,19,1,3,54.19915206
对不起,duìbùqǐ,4-4-3,sorry,19,1,3,54.19915206
没关系,méiguānxì,2-1-4,It doesn’t matter,20,1,3,61.54669054
怎么样,zěnmeyàng,3-4,how about,22,1,3,78.39934218
